workload,theta,ops_per_sec,commits_per_sec,aborts_per_sec,abort_rate
YCSB-A,0,5878.0,3636.0,0.0,0.0
YCSB-A,0.3,5957.0,3644.0,0.0,0.0
YCSB-A,0.5,6062.0,3631.0,0.0,0.0
YCSB-A,0.7,6657.0,3554.0,4.0,0.1
YCSB-A,0.9,7959.0,3485.0,113.0,3.1
YCSB-A,0.99,9091.0,3531.0,378.0,9.7
YCSB-B,0,624.0,3668.0,0.0,0.0
YCSB-B,0.3,663.0,3702.0,0.0,0.0
YCSB-B,0.5,826.0,3740.0,0.0,0.0
YCSB-B,0.7,1554.0,3685.0,0.0,0.0
YCSB-B,0.9,4158.0,3640.0,16.0,0.4
YCSB-B,0.99,5909.0,3699.0,50.0,1.3
